image,output,flag,username,timestamp
"{""path"":""flagged/image/fde31b282fa774a8c684/925042990-3082109-1.jpg"",""url"":""https://aimatrix.api.engageapps.jio/perk-classification/file=/tmp/gradio/5654389f2131bf9de1be37fa0e400d1031bac851/925042990-3082109-1.jpg"",""size"":67850,""orig_name"":""925042990-3082109-1.jpg"",""mime_type"":""""}",,,,2024-01-19 14:35:09.765300
"{""path"":""flagged/image/496fc80c69d1bfde4e65/925042990-3082109-1.jpg"",""url"":""https://aimatrix.api.engageapps.jio/perk-classification/file=/tmp/gradio/5654389f2131bf9de1be37fa0e400d1031bac851/925042990-3082109-1.jpg"",""size"":67850,""orig_name"":""925042990-3082109-1.jpg"",""mime_type"":""""}",,,,2024-01-19 14:42:08.895556
"{""path"":""flagged/image/df088d8d79aa61caf6c5/925042990-3082109-1.jpg"",""url"":""https://aimatrix.api.engageapps.jio/perk-classification/file=/tmp/gradio/5654389f2131bf9de1be37fa0e400d1031bac851/925042990-3082109-1.jpg"",""size"":67850,""orig_name"":""925042990-3082109-1.jpg"",""mime_type"":""""}",,,,2024-01-19 14:53:03.381715
"{""path"":""flagged/image/ae79cd9fe2a1f6a72d77/416366831_10161112589423430_1990287558889087517_n.jpg"",""url"":""https://aimatrix.api.engageapps.jio/perk-classification/file=/tmp/gradio/290151bd021749d43abf9f8e6ba6b35cfca5bd48/416366831_10161112589423430_1990287558889087517_n.jpg"",""size"":64339,""orig_name"":""416366831_10161112589423430_1990287558889087517_n.jpg"",""mime_type"":""""}",other,,,2024-03-01 10:30:19.578797
